drink,monday,tuesday,wednesday,thursday,friday,saturday,sunday,price,color
Matcha Latte,45,52,48,56,62,78,65,5.50,Green
Cold Brew,68,72,75,70,85,92,78,4.75,Brown
Oat Milk Cappuccino,38,42,45,47,55,68,60,5.25,Beige
Turmeric Latte,25,28,30,32,35,42,38,5.75,Yellow
Lavender Honey Latte,22,25,28,30,38,45,40,6.00,Purple
Iced Chai,50,55,58,60,68,75,65,5.00,Tan
Blue Spirulina Smoothie,15,18,20,22,30,45,35,7.50,Blue
Rose Cardamom Latte,20,22,25,28,35,42,38,6.25,Pink
Dirty Horchata,30,35,38,42,48,55,50,5.50,Cream
Espresso Tonic,28,32,35,40,52,60,45,6.00,Gold